username, created_at, lng, lat, text
_rols__, Wed Apr 22 14:37:15 +0000 2020, -81.367773, 28.501678, Una de las cosas que extraño de margarita era estar ladillao en mi casa, agarrar el carro e ir a una playa con 10 curditas yo solo 
onlyone_giovy, Wed Apr 22 14:37:15 +0000 2020, -75.770041, 42.746617, republicans/conservatives only hate celebs bc they don’t agree with them. they say “stick to this”, “stick to that”… https://t.co/4GkPo8K0II 
blvsscld__, Wed Apr 22 14:37:15 +0000 2020, -79.272570, 43.629311, If you are reading this, thank you 🥺😩💝💘💞💕 https://t.co/KHMZssYFDe 
Dawn61986043, Wed Apr 22 14:37:15 +0000 2020, -89.569491, 44.900818, https://t.co/jynOPNrYQP 
Croquemadame6, Wed Apr 22 14:37:15 +0000 2020, -84.306489, 33.943072, Merci à tous ceux qui ont partager 🥺 hier j’ai cru c’était mon anniversaire wallah#tl226 https://t.co/L0FmLgHcCu 
whet, Wed Apr 22 14:37:16 +0000 2020, -87.732013, 41.833585, @JonMalesic I think it's circumstances. If she'd vacationed there under normal ones and written a piece I don't thi… https://t.co/blbgL2IntJ 
catchmekarmaa, Wed Apr 22 14:37:16 +0000 2020, -97.130289, 33.634366, THIS 
DJ_Summerella, Wed Apr 22 14:37:16 +0000 2020, -77.090869, 38.817380, @crayfoolin Just got put on with Travis JACKBOYS album 
charlotte_gregg, Wed Apr 22 14:37:16 +0000 2020, -79.272570, 43.629311, @xngieeeeee ♥️♥️♥️♥️love some good news 
UrielCorral_, Wed Apr 22 14:37:16 +0000 2020, -104.701045, 38.866281, @Cam_024 @brgridiron @BleacherReport @TomBrady 😂😂😂😂😂 
JustDesmundo, Wed Apr 22 14:37:16 +0000 2020, -73.948775, 40.655138, @phxnso Demon. Yusuke's demon transformation was 🔥 
SocialistBeard, Wed Apr 22 14:37:16 +0000 2020, -84.539813, 39.137038, The scholastic book fair is the first time you became class conscious 
Bepo007, Wed Apr 22 14:37:16 +0000 2020, -106.162898, 28.941866, @AngieAlarcn_ 🥺 
RobinWhitesel, Wed Apr 22 14:37:16 +0000 2020, -85.391350, 40.197240, @ChyneeKay @byehani @Skoog 10/10 should watch it, one of my favorite shows to date 
DaMailman03, Wed Apr 22 14:37:16 +0000 2020, -81.194850, 34.109023, ⚰😭😳😡 
mikecarbraygolf, Wed Apr 22 14:37:16 +0000 2020, -88.063056, 41.871111, Parenting during Covid -19. @ Glen Ellyn, Illinois https://t.co/QoYlpUITRu 
Aliciacschrank, Wed Apr 22 14:37:16 +0000 2020, -79.420865, 38.003376, @bnokaren Right! 🔥 🔥 
RapaiJoseph, Wed Apr 22 14:37:16 +0000 2020, -81.775474, 43.470502, #EarthDay2020 https://t.co/HGrteMprxY 
wordtoKay, Wed Apr 22 14:37:16 +0000 2020, -74.184848, 40.734494, bro yesterday i called Pepsi... a pep. lmfao made me think of the time my brother asked his wife if she wants macad… https://t.co/Ydo3a4kLDG 
MayankBadhan, Wed Apr 22 14:37:16 +0000 2020, -123.120033, 49.098261, @4_theloveoftech https://t.co/wSUnKMu8MT 
CowanChiro, Wed Apr 22 14:37:16 +0000 2020, -75.386460, 39.145024, A healthy lifestyle helps to keep your immune system strong! Make sure you get up and move!!! #cowanchirocalmzone https://t.co/5bD5gPNbqo 
SandiAnthony1, Wed Apr 22 14:37:16 +0000 2020, -117.259294, 33.692532, @realDonaldTrump All of your tweets this morning are in response to your terrible poll numbers. So now we are going… https://t.co/p8ETeJFxur 
